"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dylan Sampson","CLE","RB50","74.2","256.7","1.4","37.9","291.7","2.1","1.2","92.0"
"Mike Washington Jr.","LV","RB51","126.0","486.6","3.1","17.7","143.5","0.6","1.2","92.0"
"AJ Dillon","CAR","RB52","121.0","532.0","3.0","18.0","146.0","1.0","5.0","90.8"
"Evan Engram","DEN","TE29","0.0","0.0","0.0","53.4","475.8","2.7","0.1","90.4"
"Braelon Allen","NYJ","RB53","111.8","449.4","4.5","13.9","100.7","0.7","1.7","89.7"
"Jordyn Tyson","NO","WR72","1.0","4.0","0.0","38.8","538.6","2.9","0.7","89.4"
"Malik Washington","MIA","WR73","13.5","80.4","0.7","45.2","411.0","2.3","0.8","88.5"
"Germie Bernard","PIT","WR74","2.1","10.8","0.0","41.2","507.6","2.9","0.7","88.5"
"Chris Bell","MIA","WR75","1.0","5.5","0.0","40.6","516.3","2.8","0.7","88.0"
"Samaje Perine","CIN","RB54","98.4","441.3","3.7","17.9","135.7","0.4","1.9","87.1"
"Gunnar Helm","TEN","TE30","0.0","0.0","0.0","48.9","443.6","3.1","0.2","87.1"
"Antonio Williams","WAS","WR76","3.5","18.7","0.1","35.5","496.0","3.1","1.2","86.3"
"David Njoku","LAC","TE31","0.0","0.0","0.0","42.3","396.2","4.3","0.1","86.2"
"Tyler Allgeier","ARI","RB55","111.7","413.1","4.2","17.0","110.8","0.2","0.6","85.7"
"Mike Gesicki","CIN","TE32","0.0","0.0","0.0","41.4","434.7","3.6","0.1","85.4"
"Caleb Douglas","MIA","WR77","1.0","5.5","0.0","39.2","507.7","2.5","0.7","84.8"
"Omar Cooper Jr.","NYJ","WR78","2.1","12.5","0.1","38.4","458.2","3.1","0.7","84.0"
"Kaelon Black","SF","RB56","113.6","452.1","3.6","10.6","95.2","0.7","1.2","83.3"
"Travis Hunter","JAC","WR79","2.0","10.8","0.1","38.1","451.6","3.1","0.4","83.2"
"Xavier Hutchinson","HOU","WR80","2.1","14.2","0.0","38.7","473.4","2.5","0.2","83.1"
"Ty Johnson","BUF","RB57","51.9","222.5","2.1","22.8","244.1","2.2","0.2","83.0"
"Dontayvion Wicks","PHI","WR81","0.5","2.5","0.0","38.7","459.2","3.0","0.2","82.8"
"Malik Davis","DAL","RB58","104.2","479.9","3.5","10.7","82.3","0.2","0.7","82.5"
"Brian Robinson Jr.","ATL","RB59","120.5","516.8","3.9","7.3","46.7","0.1","0.7","82.4"
"Tank Bigsby","PHI","RB60","104.6","510.7","4.2","3.8","31.8","0.1","0.7","80.2"
"Tyquan Thornton","KC","WR82","0.0","0.0","0.0","25.4","466.5","3.5","0.1","80.0"
"Tory Horton","SEA","WR83","0.5","3.0","0.0","30.3","400.5","4.2","0.6","79.2"
"Troy Franklin","DEN","WR84","3.0","10.8","0.0","36.5","403.1","3.4","0.6","79.0"
"Darius Slayton","NYG","WR85","1.6","8.6","0.0","35.1","502.5","1.9","0.7","79.0"
"Mason Taylor","NYJ","TE33","0.0","0.0","0.0","46.2","406.0","2.5","0.1","78.2"
"Keaton Mitchell","LAC","RB61","95.6","432.8","2.2","15.5","114.5","0.4","0.7","76.6"
"Xavier Legette","CAR","WR86","2.1","10.9","0.1","35.7","416.9","2.6","0.4","75.8"
"Oronde Gadsden II","LAC","TE34","0.0","0.0","0.0","34.1","423.2","2.8","0.6","75.2"
"Jahan Dotson","ATL","WR87","0.0","0.0","0.0","35.2","443.3","2.3","0.3","74.9"
"Colby Parkinson","LAR","TE35","0.0","0.0","0.0","33.4","342.2","4.0","0.6","73.8"
"Tre' Harris","LAC","WR88","0.0","0.0","0.0","34.5","410.5","2.5","0.4","72.5"
"Isaac TeSlaa","DET","WR89","0.0","0.0","0.0","25.4","352.4","4.1","0.1","72.4"
"Tyrone Tracy Jr.","NYG","RB62","82.9","352.0","1.5","19.6","147.3","0.8","0.6","72.3"
"Ryan Flournoy","DAL","WR90","2.2","12.4","0.1","33.8","382.9","2.7","0.4","72.3"
"Bryce Lance","NO","WR91","1.0","5.0","0.0","34.1","449.9","1.9","1.1","72.0"
"Jalen Tolbert","MIA","WR92","0.0","0.0","0.0","35.4","442.7","1.7","0.3","71.7"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","376.6","2.1","0.1","70.0"
"Andrei Iosivas","CIN","WR93","2.5","11.0","0.0","29.5","373.5","2.7","0.1","69.6"
"Malachi Fields","NYG","WR94","0.0","0.0","0.0","32.5","405.4","2.2","0.3","69.2"
"Jordan James","SF","RB63","80.7","322.5","2.5","14.0","133.0","0.6","1.1","68.9"
"Najee Harris","NYG","RB64","93.6","391.8","2.6","11.1","75.5","0.2","0.2","68.9"
"Ted Hurst III","TB","WR95","1.0","6.5","0.0","28.9","389.3","2.6","0.6","68.2"
"Hollywood Brown","PHI","WR96","0.0","0.0","0.0","28.2","350.8","3.0","0.1","67.1"
"Malik Benson","LV","WR97","1.0","4.0","0.0","33.2","397.7","1.9","0.6","66.9"
"Elic Ayomanor","TEN","WR98","0.0","0.0","0.0","25.4","342.2","3.3","0.0","66.7"
"DeMario Douglas","NE","WR99","4.1","21.5","0.2","30.2","365.6","2.0","0.4","66.3"
"Chimere Dike","TEN","WR100","10.1","33.6","0.3","27.8","271.1","3.4","0.6","65.2"
"Dawson Knox","BUF","TE37","0.0","0.0","0.0","28.7","331.4","2.9","0.1","64.9"
"Zachariah Branch","ATL","WR101","0.0","0.0","0.0","31.4","381.7","1.9","0.3","64.6"
"Chris Brooks","GB","RB65","80.9","366.0","1.7","14.3","100.8","0.3","0.6","64.5"
"Keon Coleman","BUF","WR102","0.0","0.0","0.0","24.4","337.9","2.8","0.2","62.5"
"Theo Johnson","NYG","TE38","0.0","0.0","0.0","28.1","313.3","2.9","0.1","62.4"
"Joshua Palmer","BUF","WR103","0.0","0.0","0.0","26.9","354.7","1.7","0.1","59.0"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","30.7","329.0","2.0","0.6","58.7"
"Pat Bryant","DEN","WR104","0.0","0.0","0.0","28.4","320.2","2.1","0.3","58.3"
"Tyler Higbee","LAR","TE40","0.0","0.0","0.0","25.1","296.7","2.4","0.0","56.6"
"Ashton Dulin","IND","WR105","5.1","46.2","0.1","17.5","337.7","1.3","0.1","55.3"
"Marvin Mims Jr.","DEN","WR106","8.2","45.1","0.3","24.1","272.9","1.6","0.4","54.7"
"KaVontae Turpin","DAL","WR107","17.8","103.0","0.4","18.1","229.4","1.7","0.4","54.5"
"Cole Kmet","CHI","TE41","0.0","0.0","0.0","26.3","274.3","2.2","0.1","53.8"
"Erick All Jr.","CIN","TE42","0.0","0.0","0.0","31.0","268.7","1.9","0.1","53.8"
"Kevin Coleman Jr.","MIA","WR108","0.0","0.0","0.0","27.1","352.4","0.9","0.3","53.4"
"Kimani Vidal","LAC","RB66","60.2","234.7","1.6","11.9","104.0","0.7","0.1","53.1"
"Devontez Walker","BAL","WR109","0.0","1.5","0.0","18.2","304.8","2.2","0.1","53.0"
"Brashard Smith","KC","RB67","47.1","180.4","1.1","18.7","131.7","1.0","0.1","52.8"
"Darnell Mooney","NYG","WR110","2.2","11.9","0.1","21.5","308.3","1.7","0.2","52.8"
"Jack Bech","LV","WR111","0.0","0.0","0.0","27.7","315.0","1.2","0.3","51.9"
"Noah Fant","NO","TE43","0.0","0.0","0.0","29.3","274.0","1.6","1.6","48.5"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.5","251.5","1.9","0.6","48.5"
"Jahdae Walker","CHI","WR112","0.5","3.5","0.0","17.6","232.8","2.7","0.0","48.4"
"Jaylen Wright","MIA","RB68","82.1","318.2","1.6","7.2","52.6","0.1","1.3","48.3"
"Demarcus Robinson","SF","WR113","0.5","2.5","0.0","19.3","275.9","1.8","0.0","48.2"
