"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jaleel McLaughlin","DEN","RB82","30.5","142.6","0.8","18.2","110.3","0.9","0.5","34.3"
"Terrance Ferguson","LAR","TE45","0.0","0.0","0.0","23.0","235.5","1.9","0.4","34.1"
"Zamir White","LV","RB83","56.1","190.2","1.1","8.6","61.7","0.3","0.0","33.6"
"Robbie Ouzts","SEA","TE46","0.0","0.0","0.0","25.0","246.9","1.5","0.5","32.9"
"A.J. Dillon","PHI","RB84","50.1","199.1","1.6","3.6","28.6","0.1","0.0","32.7"
"Tyler Johnson","NYJ","WR123","0.0","0.0","0.0","20.6","217.5","1.6","0.0","31.3"
"Josh Oliver","MIN","TE47","0.0","0.0","0.0","20.2","211.1","1.7","0.1","31.2"
"Harold Fannin Jr.","CLE","TE48","0.0","0.0","0.0","23.7","235.6","1.2","0.4","30.1"
"JuJu Smith-Schuster","KC","WR124","0.0","0.0","0.0","19.4","211.2","1.5","0.1","29.9"
"Ben Sinnott","WAS","TE49","0.0","0.0","0.0","20.3","199.3","1.6","0.1","29.5"
"Luke McCaffrey","WAS","WR125","0.0","1.0","0.0","19.4","203.2","1.5","0.1","29.0"
"Jacory Croskey-Merritt","WAS","RB85","33.0","169.4","1.4","3.7","27.3","0.1","0.0","28.2"
"Tommy Tremble","CAR","TE50","0.0","0.0","0.0","19.2","183.4","1.7","0.4","27.7"
"DJ Giddens","IND","RB86","24.1","154.3","1.2","5.8","43.6","0.1","0.0","27.1"
"Luke Musgrave","GB","TE51","0.0","0.0","0.0","19.1","186.4","1.4","0.0","27.1"
"Kendrick Bourne","NE","WR126","1.1","6.8","0.0","17.6","199.4","1.1","0.1","26.9"
"A.T. Perry","DEN","WR127","0.0","0.0","0.0","13.7","180.5","1.5","0.0","26.9"
"Brock Wright","DET","TE52","0.0","0.0","0.0","15.0","134.8","2.2","0.0","26.4"
"Jordan James","SF","RB87","26.9","154.8","1.3","3.3","29.5","0.0","0.0","26.1"
"Ollie Gordon II","MIA","RB88","31.9","151.3","1.2","5.1","36.3","0.1","0.4","26.1"
"Zay Jones","ARI","WR128","0.0","2.0","0.0","16.8","179.8","1.3","0.1","25.6"
"Isaiah Davis","NYJ","RB89","29.9","149.6","0.8","6.0","42.8","0.2","0.0","25.2"
"Audric Estime","DEN","RB90","45.5","148.6","0.9","5.8","40.1","0.2","0.4","25.1"
"Amar Johnson","GB","RB91","35.0","164.0","1.0","2.0","26.0","0.0","0.0","25.0"
