"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Makai Lemon","PHI","WR55","1.5","6.5","0.0","54.8","761.8","4.5","1.3","128.6"
"Calvin Ridley","TEN","WR56","4.5","27.5","0.6","48.1","784.8","3.3","0.2","128.3"
"Jalen Coker","CAR","WR57","0.0","0.0","0.0","60.3","714.2","4.5","0.8","126.8"
"Hunter Henry","NE","TE16","0.0","0.0","0.0","55.6","645.4","5.1","0.1","122.5"
"Theo Wease Jr.","MIA","WR58","2.0","8.0","0.0","49.0","687.0","5.0","1.0","122.0"
"Juwan Johnson","NO","TE17","0.0","0.0","0.0","64.8","726.7","3.3","1.3","122.0"
"Brenton Strange","JAC","TE18","0.0","0.0","0.0","60.0","661.3","4.3","0.2","121.7"
"Rashod Bateman","BAL","WR59","0.0","0.0","0.0","40.3","622.0","6.5","0.2","120.9"
"Jayden Higgins","HOU","WR60","0.0","0.0","0.0","51.8","634.3","5.2","0.2","120.1"
"Denzel Boston","CLE","WR61","1.0","5.0","0.0","56.8","734.0","3.4","1.3","120.1"
"Jerry Jeudy","CLE","WR62","0.5","2.0","0.0","54.2","746.3","2.9","0.7","117.6"
"De'Zhaun Stribling","SF","WR63","1.5","6.5","0.0","48.1","699.2","4.2","1.2","117.2"
"Tre Tucker","LV","WR64","11.2","52.9","0.2","50.1","634.7","3.8","0.1","117.0"
"Tank Dell","HOU","WR65","10.2","48.8","0.1","50.0","630.5","3.8","0.2","116.1"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","628.5","3.4","0.2","115.6"
"Alvin Kamara","NO","RB42","127.9","491.9","2.8","35.1","243.2","1.3","0.8","113.8"
"Tyjae Spears","TEN","RB43","92.1","367.6","2.9","45.9","305.1","1.2","0.7","113.4"
"Zach Charbonnet","SEA","RB44","130.5","533.0","5.6","19.8","147.0","0.5","0.7","113.2"
"Woody Marks","HOU","RB45","142.6","555.7","2.7","24.0","197.3","1.8","0.8","112.3"
"Jalen McMillan","TB","WR66","4.7","26.8","0.1","46.7","606.6","3.9","0.2","110.5"
"Jauan Jennings","MIN","WR67","0.0","0.0","0.0","48.7","557.6","5.2","0.7","109.7"
"T.J. Hockenson","MIN","TE20","0.0","0.0","0.0","63.9","574.5","3.3","0.2","108.7"
"Jalen Nailor","LV","WR68","2.0","8.5","0.0","43.6","590.4","4.5","0.2","108.5"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","53.0","559.8","4.3","0.2","107.6"
"Tyrone Tracy Jr.","NYG","RB46","122.8","521.8","2.5","26.3","203.2","1.2","0.8","106.4"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","620.7","3.2","1.2","106.3"
"Isiah Pacheco","DET","RB47","139.2","582.0","3.5","21.1","136.1","0.6","0.8","105.5"
"Kenyon Sadiq","NYJ","TE23","0.0","0.0","0.0","51.1","558.7","4.1","0.7","104.6"
"Cade Otton","TB","TE24","0.0","0.0","0.0","54.9","557.3","3.1","0.1","101.5"
"Cooper Kupp","SEA","WR69","0.5","1.5","0.0","47.4","584.9","3.4","0.7","101.5"
"AJ Barner","SEA","TE25","0.0","0.0","0.0","48.6","469.9","4.9","0.2","100.1"
"Chig Okonkwo","WAS","TE26","0.0","0.0","0.0","52.8","569.9","2.8","0.1","99.8"
"Terrance Ferguson","LAR","TE27","0.0","0.0","0.0","37.3","516.7","4.8","0.2","98.8"
"Justice Hill","BAL","RB48","56.4","273.6","2.2","34.7","300.3","1.8","0.2","98.4"
"Oronde Gadsden II","LAC","TE28","0.0","0.0","0.0","44.2","550.2","3.5","0.7","96.7"
"Ja'Kobi Lane","BAL","WR70","1.5","8.5","0.0","34.3","541.7","4.2","0.7","96.3"
"Adonai Mitchell","NYJ","WR71","2.1","5.1","0.1","39.8","545.9","3.3","0.7","93.4"
"Chris Rodriguez Jr.","JAC","RB49","135.5","560.4","5.1","5.4","42.8","0.1","0.6","92.8"
"Mike Gesicki","CIN","TE29","0.0","0.0","0.0","44.0","460.9","3.9","0.1","91.1"
"Omar Cooper Jr.","NYJ","WR72","2.1","12.5","0.1","41.8","499.4","3.3","0.7","90.9"
"Travis Hunter","JAC","WR73","2.0","10.8","0.1","41.6","496.1","3.3","0.4","90.8"
"Evan Engram","DEN","TE30","0.0","0.0","0.0","53.4","474.8","2.7","0.1","90.3"
"Dylan Sampson","CLE","RB50","73.5","254.2","1.3","35.9","284.5","2.1","1.2","89.9"
"Brian Robinson Jr.","ATL","RB51","129.8","564.6","4.3","6.9","43.0","0.1","0.7","89.6"
"AJ Dillon","CAR","RB52","120.0","514.0","3.0","18.0","145.0","1.0","5.0","88.9"
"Darren Waller","CAR","TE31","0.0","0.0","0.0","39.8","418.9","4.6","0.1","88.8"
"Germie Bernard","PIT","WR74","2.1","10.8","0.0","41.2","507.4","2.9","0.7","88.5"
"Kayshon Boutte","NE","WR75","0.0","0.0","0.0","31.5","477.7","4.2","0.1","88.4"
"Bub Means","NO","WR76","1.0","6.0","0.0","38.0","517.0","3.0","1.0","87.3"
"Samaje Perine","CIN","RB53","98.9","443.5","3.7","17.9","135.0","0.4","1.9","87.3"
"Gunnar Helm","TEN","TE32","0.0","0.0","0.0","48.9","443.0","3.1","0.2","87.0"
"Tyler Allgeier","ARI","RB54","111.7","425.1","4.2","17.1","108.4","0.2","0.6","86.8"
"Antonio Williams","WAS","WR77","3.5","18.7","0.1","35.5","496.8","3.1","1.2","86.4"
"Darnell Mooney","NYG","WR78","1.1","6.0","0.0","35.3","516.2","2.7","0.1","85.8"
"Malik Washington","MIA","WR79","13.4","80.7","0.7","43.5","390.5","2.3","0.8","85.3"
"Ty Johnson","BUF","RB55","51.9","218.7","2.0","24.9","252.7","2.1","0.2","84.0"
"Jordan James","SF","RB56","100.1","407.1","3.1","16.1","148.0","0.7","1.2","83.7"
"Tank Bigsby","PHI","RB57","104.6","511.1","4.2","3.8","31.8","0.1","0.7","80.3"
"Tyquan Thornton","KC","WR80","0.0","0.0","0.0","25.4","466.3","3.5","0.1","80.0"
"Braelon Allen","NYJ","RB58","97.3","391.8","4.0","12.9","93.8","0.7","1.7","79.6"
"Zachariah Branch","ATL","WR81","0.0","0.0","0.0","38.3","471.3","2.3","0.4","79.4"
"Tory Horton","SEA","WR82","0.5","3.0","0.0","30.3","401.5","4.2","0.6","79.3"
"Troy Franklin","DEN","WR83","3.0","10.8","0.0","36.5","401.9","3.4","0.6","78.9"
"Darius Slayton","NYG","WR84","1.6","8.6","0.0","34.3","503.6","1.9","0.7","78.7"
"Devaughn Vele","NO","WR85","0.0","0.0","0.0","35.1","423.3","2.8","0.1","76.7"
"Christian Kirk","SF","WR86","0.0","0.0","0.0","35.6","428.0","2.7","0.1","76.7"
"Keaton Mitchell","LAC","RB59","95.6","432.3","2.2","15.5","114.2","0.4","0.7","76.5"
"Mike Washington Jr.","LV","RB60","101.3","381.0","2.6","15.7","127.4","0.6","1.2","75.8"
"Xavier Legette","CAR","WR87","2.1","10.8","0.1","35.9","416.1","2.6","0.4","75.6"
"Mason Taylor","NYJ","TE33","0.0","0.0","0.0","44.5","391.5","2.4","0.1","75.5"
"Emari Demercado","KC","RB61","76.8","425.9","1.7","16.3","119.0","0.8","1.7","74.3"
"Dontayvion Wicks","PHI","WR88","0.0","0.0","0.0","33.4","433.3","2.5","0.4","74.1"
"David Njoku","LAC","TE34","0.0","0.0","0.0","34.7","324.1","3.9","0.1","73.1"
"Colby Parkinson","LAR","TE35","0.0","0.0","0.0","33.0","338.4","3.9","0.6","72.5"
"Ryan Flournoy","DAL","WR89","2.2","12.4","0.1","33.9","383.8","2.7","0.4","72.4"
"Isaac TeSlaa","DET","WR90","0.0","0.0","0.0","25.4","352.4","4.1","0.1","72.4"
"MarShawn Lloyd","GB","RB62","89.7","381.8","2.8","12.1","85.1","0.6","0.4","72.3"
"Tre' Harris","LAC","WR91","0.0","0.0","0.0","34.5","409.3","2.5","0.4","72.3"
"Jalen Tolbert","MIA","WR92","0.0","0.0","0.0","35.4","441.7","1.8","0.3","71.8"
"Caleb Douglas","MIA","WR93","1.0","5.5","0.0","33.1","419.9","2.3","0.7","71.3"
"Chris Bell","MIA","WR94","0.0","0.0","0.0","34.2","448.9","1.7","0.4","71.3"
"Hollywood Brown","PHI","WR95","0.0","0.0","0.0","29.8","369.6","3.1","0.1","70.5"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","377.7","2.1","0.1","70.1"
"Kaelon Black","SF","RB63","93.7","369.3","3.0","8.5","79.2","0.6","1.1","68.6"
"Ted Hurst III","TB","WR96","1.0","6.5","0.0","28.9","389.5","2.6","0.6","68.2"
"Ashton Dulin","IND","WR97","5.1","46.2","0.1","24.1","401.9","1.6","0.1","66.6"
"Andrei Iosivas","CIN","WR98","2.5","11.1","0.0","27.7","352.1","2.6","0.1","65.6"
"Jack Bech","LV","WR99","0.0","0.0","0.0","34.5","397.8","1.5","0.4","65.2"
"Dawson Knox","BUF","TE37","0.0","0.0","0.0","28.6","331.7","2.9","0.1","64.9"
"Elic Ayomanor","TEN","WR100","0.0","0.0","0.0","23.9","323.0","3.2","0.0","63.4"
"Theo Johnson","NYG","TE38","0.0","0.0","0.0","27.5","313.9","2.9","0.1","62.2"
"Chimere Dike","TEN","WR101","10.1","33.6","0.3","26.1","252.4","3.3","0.6","61.7"
"Malik Davis","DAL","RB64","80.1","373.1","2.7","6.6","52.3","0.1","0.6","61.4"
"Jahan Dotson","ATL","WR102","0.0","0.0","0.0","28.7","358.2","1.9","0.2","60.9"
"Jaylin Noel","HOU","WR103","4.2","22.2","0.1","28.8","322.6","1.8","0.3","59.8"
"Chris Brooks","GB","RB65","72.7","323.8","1.3","15.4","107.5","0.3","0.6","59.3"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","30.7","329.0","2.0","0.6","58.7"
"Pat Bryant","DEN","WR104","0.0","0.0","0.0","28.4","319.6","2.1","0.3","58.3"
"Tyler Higbee","LAR","TE40","0.0","0.0","0.0","26.1","306.5","2.4","0.0","58.1"
"Adam Randall","BAL","RB66","55.1","281.1","2.0","9.8","101.9","0.6","0.6","57.4"
"Savion Williams","GB","WR105","9.0","47.0","0.3","23.9","271.5","2.0","0.3","57.0"
"Joshua Palmer","BUF","WR106","0.0","0.0","0.0","25.9","342.7","1.6","0.1","56.8"
"Marvin Mims Jr.","DEN","WR107","8.2","45.1","0.3","24.2","272.4","1.6","0.4","54.7"
"KaVontae Turpin","DAL","WR108","17.7","102.5","0.4","18.2","229.9","1.7","0.4","54.5"
"Olamide Zaccheaus","ATL","WR109","1.5","9.5","0.0","30.1","277.1","1.8","0.1","54.5"
"Cole Kmet","CHI","TE41","0.0","0.0","0.0","26.2","274.4","2.2","0.1","53.8"
"Zavion Thomas","CHI","WR110","1.5","6.5","0.0","23.2","306.3","2.1","1.1","53.4"
"Kimani Vidal","LAC","RB67","60.1","234.0","1.5","11.9","104.4","0.7","0.1","53.0"
"James Conner","ARI","RB68","42.5","153.5","1.5","18.0","131.5","1.0","0.0","52.5"
"Noah Fant","NO","TE42","0.0","0.0","0.0","30.4","285.3","1.7","1.6","50.6"
"DeMario Douglas","NE","WR111","4.1","21.4","0.2","22.7","271.1","1.5","0.3","49.9"
"Keon Coleman","BUF","WR112","0.0","0.0","0.0","19.4","266.0","2.3","0.2","49.4"
"Nick Westbrook-Ikhine","IND","WR113","0.0","0.0","0.0","21.6","269.6","2.0","0.2","49.3"
"Calvin Austin III","NYG","WR114","0.0","0.0","0.0","19.6","262.3","2.2","0.0","49.1"
"Will Kacmarek","MIA","TE43","0.0","0.0","0.0","26.6","251.3","1.9","0.6","48.6"
"Jahdae Walker","CHI","WR115","0.5","3.5","0.0","17.6","234.3","2.7","0.0","48.5"
"Emanuel Wilson","SEA","RB69","70.2","290.0","1.7","7.7","52.1","0.0","0.5","47.4"
"Jaylen Wright","MIA","RB70","79.9","308.5","1.5","7.2","52.5","0.1","1.2","47.0"
"Elijah Arroyo","SEA","TE44","0.0","0.0","0.0","23.6","240.1","1.9","0.2","46.6"
"Erick All Jr.","CIN","TE45","0.0","0.0","0.0","26.1","228.2","1.6","0.1","45.5"
"Charlie Kolar","LAC","TE46","0.0","0.0","0.0","20.2","230.1","2.0","0.1","45.3"
"Cedric Tillman","CLE","WR116","0.0","-0.5","0.0","18.5","235.1","2.1","0.0","45.3"
"Jawhar Jordan","HOU","RB71","51.3","218.5","1.1","11.0","86.0","0.5","0.5","44.7"
"Austin Hooper","ATL","TE47","0.0","0.0","0.0","22.5","236.3","1.6","0.1","44.4"
"Demarcus Robinson","SF","WR117","0.5","2.5","0.0","17.6","252.6","1.7","0.0","44.2"
"Tutu Atwell","MIA","WR118","2.2","11.3","0.1","20.4","291.7","0.5","0.2","43.2"
"Kyle Juszczyk","SF","RB72","4.2","10.3","0.1","23.7","208.7","1.5","0.1","42.9"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","18.6","193.9","2.4","0.1","42.8"
"Luke McCaffrey","WAS","WR119","0.0","0.0","0.0","14.4","221.2","2.3","0.0","42.7"
"Elijah Sarratt","BAL","WR120","0.0","0.0","0.0","16.7","250.9","1.5","0.2","42.2"
"Daniel Bellinger","TEN","TE49","0.0","0.0","0.0","19.3","221.8","1.7","0.0","42.2"
"Jaydon Blue","DAL","RB73","48.7","205.0","1.5","8.8","61.8","0.4","0.2","42.1"
"Brock Wright","DET","TE50","0.0","0.0","0.0","19.9","175.6","2.3","0.0","41.3"
