"RK","PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"158","Braelon Allen",NYJ,"75.7","0","0","19","148","1","92","334","2"
"159","Pittsburgh Steelers",PIT,"146","0","0","0","0","0","0","0","0"
"160","Isaiah Davis",NYJ,"41.4","0","0","9","75","1","30","174","1"
"161","Baltimore Ravens",BAL,"120","0","0","0","0","0","0","0","0"
"162","Detroit Lions",DET,"123","0","0","0","0","0","0","0","0"
"163","Cam Akers",NO,"86.2","0","0","14","68","3","104","444","2"
"164","Kansas City Chiefs",KC,"106","0","0","0","0","0","0","0","0"
"165","Kenneth Gainwell",PIT,"54.6","0","0","16","116","0","75","290","1"
"166","Justice Hill",BAL,"106.1","0","0","42","383","3","47","228","1"
"167","Minnesota Vikings",MIN,"162","0","0","0","0","0","0","0","0"
"168","Michael Wilson",ARI,"101","0","0","47","548","4","1","7","0"
"169","Houston Texans",HOU,"139","0","0","0","0","0","0","0","0"
"170","J.K. Dobbins",DEN,"175.8","0","0","32","153","0","195","905","9"
"171","Wan'Dale Robinson",NYG,"136.2","0","0","93","699","3","3","18","0"
"172","Ameer Abdullah",SF,"105.2","0","0","40","261","3","66","311","2"
"173","New York Jets",NYJ,"95","0","0","0","0","0","0","0","0"
"174","Roschon Johnson",CHI,"69.4","0","0","16","104","0","55","150","6"
"175","Denver Broncos",DEN,"179","0","0","0","0","0","0","0","0"
"176","San Francisco 49ers",SF,"84","0","0","0","0","0","0","0","0"
"177","Jaylen Wright",MIA,"25.2","0","0","3","8","0","68","249","0"
"178","Green Bay Packers",GB,"148","0","0","0","0","0","0","0","0"
"179","Jaleel McLaughlin",DEN,"85.2","0","0","24","76","2","113","496","1"
"180","Indianapolis Colts",IND,"91","0","0","0","0","0","0","0","0"
"181","Justin Tucker",FA,"143","0","0","0","0","0","0","0","0"
"182","Jeremy McNichols",WAS,"59.3","0","0","9","27","0","55","261","4"
"183","Cooper Rush",BAL,"114.6","1844","12","0","0","0","26","18","0"
"184","Isaiah Likely",BAL,"102.7","0","0","42","477","6","0","0","0"
"185","Devaughn Vele",DEN,"86","0","0","41","475","3","0","0","0"
"186","Jake Moody",SF,"118","0","0","0","0","0","0","0","0"
"187","Chris Boswell",PIT,"191","0","0","0","0","0","0","0","0"
"188","Mike Gesicki",CIN,"109","0","0","65","665","2","0","0","0"
"189","Adonai Mitchell",IND,"42.3","0","0","23","312","0","4","6","0"
"190","Ray-Ray McCloud III",ATL,"109.5","0","0","62","686","1","10","79","0"
"191","Chris Olave",NO,"60.7","0","0","32","400","1","1","7","0"
"192","Los Angeles Chargers",LAC,"128","0","0","0","0","0","0","0","0"
"193","Cameron Dicker",LAC,"179","0","0","0","0","0","0","0","0"
"194","Tyler Lockett",TEN,"96.5","0","0","49","600","2","0","0","0"
"195","Jason Sanders",MIA,"166","0","0","0","0","0","0","0","0"
"196","Calvin Austin III",PIT,"100.8","0","0","36","548","4","0","0","0"
"197","Younghoe Koo",ATL,"120","0","0","0","0","0","0","0","0"
"198","Tyler Bass",BUF,"146","0","0","0","0","0","0","0","0"
"199","Jake Bates",DET,"161","0","0","0","0","0","0","0","0"
"200","Cleveland Browns",CLE,"81","0","0","0","0","0","0","0","0"
"201","Tyler Conklin",LAC,"96.4","0","0","51","449","4","1","0","0"
"202","Kirk Cousins",ATL,"192.3","3508","18","0","0","0","23","0","0"
"203","Dontayvion Wicks",GB,"91","0","0","39","415","5","0","0","0"
"204","Mike Williams",FA,"46.3","0","0","21","298","1","0","0","0"
"205","Ty Johnson",BUF,"82.7","0","0","18","284","3","41","213","1"
"206","Tampa Bay Buccaneers",TB,"104","0","0","0","0","0","0","0","0"
"207","Cincinnati Bengals",CIN,"104","0","0","0","0","0","0","0","0"
"208","Jake Elliott",PHI,"141","0","0","0","0","0","0","0","0"
"209","Ricky Pearsall",SF,"78","0","0","31","400","3","3","45","0"
"210","Tim Patrick",DET,"75.9","0","0","33","394","3","0","0","0"
"211","Diontae Johnson",CLE,"72.6","0","0","33","375","3","2","6","0"
"212","Chicago Bears",CHI,"121","0","0","0","0","0","0","0","0"
"213","Demarcus Robinson",SF,"108","0","0","31","505","7","0","0","0"
"214","New Orleans Saints",NO,"98","0","0","0","0","0","0","0","0"
"215","Aidan O'Connell",LV,"97.5","1612","8","0","0","0","21","30","1"
"216","Malik Washington",MIA,"41.8","0","0","26","223","0","5","25","1"
"217","Stone Smartt",NYJ,"26.8","0","0","16","208","0","0","0","0"
"218","Mac Jones",SF,"104.1","1672","8","0","0","0","28","92","1"
"219","Nick Westbrook-Ikhine",MIA,"119.7","0","0","32","497","9","0","0","0"
"220","Sterling Shepard",TB,"64.3","0","0","32","334","1","8","69","0"
"221","Grant Calcaterra",PHI,"47.8","0","0","24","298","1","0","0","0"
"222","Dallas Cowboys",DAL,"111","0","0","0","0","0","0","0","0"
"223","Noah Gray",KC,"93.3","0","0","40","437","5","1","-4","0"
"224","Dameon Pierce",HOU,"42.5","0","0","2","2","0","40","293","2"
"225","Wil Lutz",DEN,"160","0","0","0","0","0","0","0","0"
"226","Miami Dolphins",MIA,"84","0","0","0","0","0","0","0","0"
"227","Harrison Butker",KC,"100","0","0","0","0","0","0","0","0"
"228","Arizona Cardinals",ARI,"101","0","0","0","0","0","0","0","0"
"229","Seattle Seahawks",SEA,"136","0","0","0","0","0","0","0","0"
"230","Jacksonville Jaguars",JAC,"71","0","0","0","0","0","0","0","0"
"231","Atlanta Falcons",ATL,"97","0","0","0","0","0","0","0","0"
"232","Alec Pierce",IND,"142.9","0","0","37","824","7","0","0","0"
"233","Marvin Mims Jr.",DEN,"110","0","0","39","503","6","13","42","0"
"234","Matt Gay",WAS,"139","0","0","0","0","0","0","0","0"
"235","Xavier Legette",CAR,"100.6","0","0","49","497","4","6","24","0"
"236","Ezekiel Elliott",FA,"51.5","0","0","12","69","0","74","226","3"
"237","Will Dissly",LAC,"85.1","0","0","50","481","2","0","0","0"
"238","Jason Myers",SEA,"140","0","0","0","0","0","0","0","0"
"239","Marquez Valdes-Scantling",SEA,"75","0","0","19","411","4","1","4","0"
"240","Washington Commanders",WAS,"90","0","0","0","0","0","0","0","0"
"241","Marquise Brown",KC,"13.6","0","0","9","91","0","0","0","0"
"242","Michael Penix Jr.",ATL,"47.1","775","3","0","0","0","7","11","1"
"243","Sean Tucker",TB,"64.2","0","0","9","109","1","50","308","2"
"244","DeeJay Dallas",ARI,"19.5","0","0","3","11","1","9","49","0"
"245","Noah Fant",CIN,"80","0","0","48","500","1","0","0","0"
"246","Jameis Winston",NYG,"143.1","2121","13","0","0","0","25","83","1"
"247","Daniel Carlson",LV,"145","0","0","0","0","0","0","0","0"
"248","Las Vegas Raiders",LV,"71","0","0","0","0","0","0","0","0"
"249","Will Levis",TEN,"131.9","2091","13","0","0","0","45","183","0"
"250","Chase McLaughlin",TB,"164","0","0","0","0","0","0","0","0"
"251","Parker Washington",JAC,"81","0","0","32","390","3","0","0","0"
"252","Andrei Iosivas",CIN,"101.9","0","0","36","479","6","0","0","0"
"253","Jamaal Williams",FA,"32.6","0","0","9","57","0","48","164","1"
"254","Curtis Samuel",BUF,"48.2","0","0","31","253","1","5","14","0"
"255","Darius Slayton",NYG,"90.5","0","0","39","573","2","2","17","0"
"256","Blake Grupe",NO,"131","0","0","0","0","0","0","0","0"
"257","Tre Tucker",LV,"105.8","0","0","47","539","3","9","44","1"
"258","Ja'Tavion Sanders",CAR,"56.7","0","0","33","342","1","0","0","0"
"259","Emanuel Wilson",GB,"90.5","0","0","11","48","1","103","502","4"
"260","D'Onta Foreman",FA,"29.6","0","0","6","54","0","71","232","0"
"261","Dallas Goedert",PHI,"82.6","0","0","42","496","2","0","0","0"
"262","Samaje Perine",CIN,"67.4","0","0","28","322","1","20","92","1"
"263","Chris Brooks",GB,"36.7","0","0","11","69","0","36","183","1"
"264","Jalen Tolbert",DAL,"127.5","0","0","49","610","7","0","0","0"
"265","Will Reichard",MIN,"131","0","0","0","0","0","0","0","0"
"266","Tennessee Titans",TEN,"72","0","0","0","0","0","0","0","0"
"267","Keaton Mitchell",BAL,"6.3","0","0","1","28","0","15","30","0"
"268","Troy Franklin",DEN,"53.1","0","0","28","263","2","2","8","0"
"269","Joshua Karty",LAR,"135","0","0","0","0","0","0","0","0"
"270","Ty Chandler",MIN,"25.4","0","0","6","42","0","56","182","0"
"271","Austin Ekeler",WAS,"114.8","0","0","35","366","0","77","367","4"
"272","Van Jefferson",TEN,"51.6","0","0","24","276","2","0","0","0"
"273","Pierre Strong Jr.",CLE,"28.2","0","0","14","104","0","26","108","0"
"274","Craig Reynolds",DET,"19.4","0","0","3","40","0","31","139","0"
"275","Evan McPherson",CIN,"94","0","0","0","0","0","0","0","0"
"276","Los Angeles Rams",LAR,"118","0","0","0","0","0","0","0","0"
"277","Dustin Hopkins",CLE,"84","0","0","0","0","0","0","0","0"
"278","Nick Folk",NYJ,"108","0","0","0","0","0","0","0","0"
"279","Cairo Santos",CHI,"109","0","0","0","0","0","0","0","0"
"280","Dare Ogunbowale",HOU,"46.5","0","0","19","198","1","30","112","0"
"281","Chad Ryland",ARI,"125","0","0","0","0","0","0","0","0"
"282","Trey Sermon",PIT,"45.8","0","0","16","99","0","56","159","2"
"283","Tyler Boyd",FA,"58.8","0","0","39","390","0","1","3","0"
"284","KaVontae Turpin",DAL,"88.7","0","0","31","420","2","16","92","0"
"285","Tutu Atwell",LAR,"77.9","0","0","42","562","0","2","7","0"
